TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,788,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/dom/Node.cpp,1742,Unclear,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/speex/libspeex/mdf.c,323,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1392,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,654,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/src/core/SkString.cpp,438,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/llvm/lib/Support/APFloat.cpp,3278,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/APInt.cpp,150,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Bitcode/Writer/ValueEnumerator.cpp,348,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/wilhelm/src/itf/IRecord.c,124,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/openssl/crypto/asn1/a_object.c,380,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/neven/Embedded/common/src/b_TensorEm/Flt16Mat2D.c,250,Unknown,+,+,+,+,+,+,,,,,+,+,+,9
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,390,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uniset.cpp,966,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/compile/mclinker/lib/Target/Mips/MipsGOT.cpp,145,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Frontend/SerializedDiagnosticPrinter.cpp,36,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/ExecutionEngine/JIT/JITEmitter.cpp,454,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/JumpThreading.cpp,1385,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/include/llvm/ADT/Hashing.h,192,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/VMCore/Instructions.cpp,1048,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,211,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,1243,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/page/NavigatorBase.cpp,83,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,system/extras/tests/memtest/memtest.cpp,604,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Serialization/ASTReaderDecl.cpp,1202,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/gpu/GrGpu.h,542,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1401,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/mesa3d/src/talloc/hieralloc.c,138,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Deque.h,432,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Sema/JumpDiagnostics.cpp,551,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,cts/apps/CtsVerifier/lib/colorchecker/colorcheckertest.cpp,766,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Serialization/ASTWriterStmt.cpp,1565,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/AST/ItaniumMangle.cpp,3440,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/DFAPacketizer.cpp,59,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxmatmul.cpp,3101,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,system/core/libcutils/tztime.c,686,Unclear,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/aac/libAACenc/src/block_switch.cpp,295,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Transforms/Scalar/SimplifyCFGPass.cpp,195,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/putil.c,1531,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/llvm/lib/Target/X86/X86FloatingPoint.cpp,870,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,176,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/src/core/Sk64.cpp,164,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Transforms/Utils/SSAUpdaterImpl.h,335,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/include/clang/Lex/Preprocessor.h,387,Unknown,+,,,,,,+,+,+,+,+,+,,7
Integer overflow,external/bluetooth/bluedroid/stack/avdt/avdt_msg.c,1411,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/chromium/base/metrics/field_trial.cc,235,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,404,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/include/core/SkRandom.h,29,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/include/core/SkRandom.h,29,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,658,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/ubidiln.c,690,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/ipsec-tools/src/racoon/isakmp_cfg.c,2118,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxmatmul.cpp,3102,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APInt.cpp,693,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,3886,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uloc_tag.c,2368,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1484,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,661,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Deque.h,479,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/VMCore/LLVMContextImpl.h,44,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/nfrs.cpp,317,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,development/tools/emulator/opengl/system/OpenglSystemCommon/gralloc_cb.h,59,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/unistr.cpp,381,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Vector.h,994,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/rtsp/AAMRAssembler.cpp,45,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/TableGen/Record.cpp,1298,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/qemu/hw/bt-l2cap.c,622,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,frameworks/av/libvideoeditor/vss/mcs/src/M4MCS_API.c,1808,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,361,Unknown,+,+,+,+,+,+,,+,,,,,,7
Integer overflow,external/icu4c/i18n/ucol_elm.cpp,1190,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbi.cpp,1398,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/openssl/crypto/asn1/a_object.c,381,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,391,Unknown,+,+,+,+,+,+,,+,,,,,,7
Assigning value to const variable,external/icu4c/common/propsvec.c,112,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/gregocal.cpp,545,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbi.cpp,1373,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,927,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/ADT/SmallVector.h,282,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/fdlibm/s_nextafter.c,61,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Basic/SourceManager.cpp,649,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uloc.c,2456,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/av/media/libstagefright/foundation/AString.cpp,179,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/opencv/cvaux/src/cvdpstereo.cpp,308,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1579,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/calendar.cpp,1258,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/base/core/jni/android/graphics/Shader.cpp,425,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/chromium/net/spdy/spdy_http_utils.cc,69,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_TensorEm/Flt16Vec3D.c,193,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,572,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/ESQueue.cpp,601,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/VirtualCallChecker.cpp,76,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,5967,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,2041,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/llvm/lib/Support/APFloat.cpp,1254,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/MC/WinCOFFObjectWriter.cpp,410,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/CodeGenPrepare.cpp,1014,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,4262,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGBlocks.cpp,1908,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,526,Unknown,+,+,+,+,+,+,,,,,+,+,+,9
Integer overflow,external/e2fsprogs/lib/ext2fs/badblocks.c,116,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/skia/src/core/SkString.cpp,447,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/icu4c/i18n/nfrs.cpp,335,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkAlphaRuns.cpp,41,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utrie.c,102,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/ushape.c,985,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uniset.cpp,2080,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/clang/lib/Rewrite/Frontend/RewriteModernObjC.cpp,4335,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Deque.h,480,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/CodeGen/CGRecordLayoutBuilder.cpp,490,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/cstring.c,130,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol_cnt.cpp,284,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/include/clang/StaticAnalyzer/Core/CheckerManager.h,149,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/RetainCountChecker.cpp,715,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxmatmul.cpp,3096,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/ucnvsel.cpp,727,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,579,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,packages/inputmethods/PinyinIME/jni/share/userdict.cpp,1063,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/mesa3d/src/talloc/hieralloc.c,317,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cv/src/cvsumpixels.cpp,201,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/chromium/base/synchronization/waitable_event_posix.cc,240,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Serialization/ASTWriterStmt.cpp,1648,Unknown,+,,,,,,,,,,,,,1
Integer overflow,external/opencv/ml/src/mltree.cpp,2011,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/compile/libbcc/bcinfo/BitReader_2_7/BitcodeReader.cpp,1590,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_BasicEm/Math.c,743,Unknown,+,+,+,+,+,+,,+,+,+,+,,+,11
Integer overflow,external/compiler-rt/lib/asan/asan_interceptors.cc,306,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/platform/text/TextEncodingRegistry.cpp,94,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/llvm/lib/Transforms/Utils/DemoteRegToStack.cpp,59,Unknown,+,+,+,+,+,+,,,,,+,+,+,9
Integer overflow,external/webkit/Source/WebCore/svg/animation/SVGSMILElement.cpp,230,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1487,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/llvm/lib/CodeGen/MachineInstr.cpp,424,Unknown,+,+,+,,,,,,,,,,,3
Integer overflow,external/quake/quake/src/WinQuake/menu.cpp,1988,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uhash.c,424,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,14282,Unknown,+,+,+,+,+,+,,+,,,+,+,+,10
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanDetector.c,583,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/srec/srec/cfront/sp_fft.c,233,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/css/CSSStyleSelector.cpp,3486,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/cpdtrans.cpp,303,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,frameworks/native/libs/utils/VectorImpl.cpp,544,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/WTFString.cpp,126,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_cnt.cpp,432,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/icu4c/common/ubidiln.c,701,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/v8/src/arm/macro-assembler-arm.cc,315,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,227,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_cnt.cpp,433,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,934,Unknown,+,+,+,+,,+,,,,,,,,5
Integer overflow,cts/apps/CtsVerifier/lib/colorchecker/colorcheckertest.cpp,775,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanDetector.c,584,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/base/libs/androidfw/ObbFile.cpp,296,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Driver/WindowsToolChain.cpp,69,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/ScalarEvolutionExpander.cpp,670,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uinvchar.c,196,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/VMCore/Type.cpp,395,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/rematch.cpp,1411,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,dalvik/vm/analysis/Optimize.cpp,363,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/native/libs/gui/Sensor.cpp,104,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/foundation/ABitReader.cpp,90,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utext.cpp,1696,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/ml/src/mlboost.cpp,533,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,389,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/llvm/include/llvm/ADT/APInt.h,484,Unknown,+,+,+,+,+,+,+,+,+,,+,+,+,12
Assigning value to const variable,external/webkit/Source/WebCore/dom/CheckedRadioButtons.cpp,55,Unclear,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/amrwb/src/pvamrwbdecoder_basic_op_cequivalent.h,312,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Analysis/ProfileDataLoader.h,87,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/include/llvm/Support/MathExtras.h,332,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IPlay.c,316,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,10541,FP,+,+,+,,+,+,,,,,,,,5
Integer overflow,external/llvm/lib/Support/APInt.cpp,2404,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,system/core/libcutils/tztime.c,1932,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/ushape.c,986,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/WebCore/html/parser/HTMLParserIdioms.cpp,57,Unknown,+,+,+,+,+,+,,,,,,,+,7
Assigning value to const variable,external/icu4c/common/uvector.cpp,133,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/VEX/priv/guest_generic_x87.c,577,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/libnfc-nci/src/nfc/llcp/llcp_sdp.c,252,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/AsmPrinter/DwarfDebug.cpp,271,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidBufferQueue.c,246,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/SmallVector.cpp,39,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/smpdtfmt.cpp,1345,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IBassBoost.c,44,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/storage/OriginUsageRecord.h,53,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Support/APInt.cpp,138,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/astl/src/string.cpp,95,TP,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/e2fsprogs/lib/ext2fs/tdb.c,460,TP,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/native/libs/utils/String8.cpp,600,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/regex-re2/re2/prefilter_tree.cc,190,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/ScopedHashTable.h,212,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/BranchProbabilityInfo.cpp,521,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkPaint.cpp,264,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/bluetooth/bluedroid/stack/avct/avct_lcb_act.c,117,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/memcheck/mc_main.c,2470,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxmatmul.cpp,3097,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/platform/text/RegularExpression.cpp,110,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/ADT/SCCIterator.h,125,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/src/core/SkUtils.cpp,328,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/mesa3d/src/talloc/hieralloc.c,102,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/normalizer2impl.cpp,1789,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol.cpp,3364,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9_func/ValueEnumerator.cpp,360,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/opencv/cv/src/cvsumpixels.cpp,204,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/e2fsprogs/resize/resize2fs.c,115,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Analysis/UninitializedValues.cpp,69,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,bionic/libc/stdlib/_rand48.c,43,Unknown,+,+,+,+,+,+,,,,,,,,6
